Index,Nome do Repositório,URL,Total de Estrelas,Data de Criação,Total de PRs
64,ant-design,https://github.com/ant-design/ant-design,92146,2015-04-24T15:37:24Z,18181
65,clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,91493,2016-11-25T22:25:41Z,252
66,godot,https://github.com/godotengine/godot,90159,2014-01-04T16:05:36Z,41214
67,java-design-patterns,https://github.com/iluwatar/java-design-patterns,89649,2014-08-09T16:45:18Z,2072
68,free-for-dev,https://github.com/ripienaar/free-for-dev,89194,2015-03-18T21:06:26Z,3374
69,puppeteer,https://github.com/puppeteer/puppeteer,88478,2017-05-09T22:16:13Z,6082
70,vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,87733,2017-04-17T03:35:49Z,476
71,papers-we-love,https://github.com/papers-we-love/papers-we-love,87459,2013-12-15T14:31:41Z,516
72,frp,https://github.com/fatedier/frp,85320,2015-12-21T15:24:59Z,897
73,iptv,https://github.com/iptv-org/iptv,85291,2018-11-14T22:00:57Z,7116
74,thefuck,https://github.com/nvbn/thefuck,85047,2015-04-08T15:08:04Z,610
75,yt-dlp,https://github.com/yt-dlp/yt-dlp,84814,2020-10-26T04:22:55Z,2852
76,storybook,https://github.com/storybookjs/storybook,84211,2016-03-18T04:23:44Z,12721
77,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,83869,2016-03-30T15:47:10Z,108
78,tauri,https://github.com/tauri-apps/tauri,83375,2019-07-13T09:09:37Z,4949
79,Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,83268,2020-11-10T02:44:00Z,811
80,every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,83059,2017-08-24T13:18:26Z,144
81,pytorch,https://github.com/pytorch/pytorch,82944,2016-08-13T05:26:41Z,90842
82,excalidraw,https://github.com/excalidraw/excalidraw,82772,2020-01-02T01:04:43Z,4344
83,neovim,https://github.com/neovim/neovim,82513,2014-01-31T13:39:22Z,18176
84,tailwindcss,https://github.com/tailwindlabs/tailwindcss,82478,2017-10-06T14:59:14Z,2890
85,animate.css,https://github.com/animate-css/animate.css,80680,2011-10-12T10:07:38Z,887
86,realworld,https://github.com/gothinkster/realworld,80423,2016-02-26T20:49:53Z,835
87,app-ideas,https://github.com/florinpop17/app-ideas,79841,2019-02-25T18:36:56Z,338
88,django,https://github.com/django/django,79621,2012-04-28T02:47:18Z,18355
89,nvm,https://github.com/nvm-sh/nvm,79520,2010-04-15T17:47:47Z,1017
90,bitcoin,https://github.com/bitcoin/bitcoin,78858,2010-12-19T15:16:43Z,21111
91,svelte,https://github.com/sveltejs/svelte,78758,2016-11-20T18:13:05Z,5896
92,opencv,https://github.com/opencv/opencv,78515,2012-07-19T09:40:17Z,15206
93,laravel,https://github.com/laravel/laravel,78490,2011-06-08T03:06:08Z,4807
94,gin,https://github.com/gin-gonic/gin,78401,2014-06-16T23:57:25Z,1608
95,mall,https://github.com/macrozheng/mall,77614,2018-04-04T01:11:44Z,117
96,models,https://github.com/tensorflow/models,77004,2016-02-05T01:15:20Z,3643
97,FiraCode,https://github.com/tonsky/FiraCode,77001,2014-11-11T19:32:38Z,184
98,fastapi,https://github.com/fastapi/fastapi,76543,2018-12-08T08:21:47Z,3379
99,advanced-java,https://github.com/doocs/advanced-java,75849,2018-10-06T11:38:30Z,126
100,awesome-mac,https://github.com/jaywcjlove/awesome-mac,75732,2016-07-17T15:33:47Z,1005
101,ChatGPT-Next-Web,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web,75685,2023-03-10T18:27:54Z,2130
102,hugo,https://github.com/gohugoio/hugo,75287,2013-07-04T15:26:26Z,5330
103,spring-boot,https://github.com/spring-projects/spring-boot,74870,2012-10-19T15:02:57Z,6417
104,rustdesk,https://github.com/rustdesk/rustdesk,74128,2020-09-28T15:36:08Z,3478
105,bun,https://github.com/oven-sh/bun,73737,2021-04-14T00:48:17Z,4721
106,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,73609,2012-02-17T14:19:43Z,669
107,json-server,https://github.com/typicode/json-server,72750,2013-11-27T13:21:13Z,316
